"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Mortality-Incidence Age-Adjusted Rate Ratio	Death Counts	Mortality Population	Incidence Counts	Incidence Population
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2001"	"2001"	0.631	530	11387404	830	11387404
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2002"	"2002"	0.646	542	11407889	829	11407889
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2003"	"2003"	0.656	544	11434788	813	11434788
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2004"	"2004"	0.655	551	11452251	824	11452251
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2005"	"2005"	0.572	529	11463320	908	11463320
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2006"	"2006"	0.596	555	11481213	897	11481213
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2007"	"2007"	0.614	532	11500468	834	11500468
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2008"	"2008"	0.606	598	11515391	956	11515391
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2009"	"2009"	0.599	580	11528896	936	11528896
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2010"	"2010"	0.667	599	11539336	867	11539336
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2011"	"2011"	0.627	550	11544663	830	11544663
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2012"	"2012"	0.673	606	11548923	858	11548923
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2013"	"2013"	0.600	618	11576684	983	11576684
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2014"	"2014"	0.651	630	11602700	899	11602700
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2015"	"2015"	0.646	638	11617527	920	11617527
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2016"	"2016"	0.673	684	11634370	935	11634370
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2017"	"2017"	0.674	693	11659650	959	11659650
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2018"	"2018"	0.672	659	11676341	904	11676341
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"1999"	"1999"	0.661	166	3437147	250	3437147
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2000"	"2000"	0.745	184	3454365	245	3454365
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2001"	"2001"	0.645	164	3467100	250	3467100
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2002"	"2002"	0.691	186	3489080	267	3489080
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2003"	"2003"	0.717	190	3504892	263	3504892
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2004"	"2004"	0.613	168	3525233	269	3525233
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2005"	"2005"	0.699	183	3548597	260	3548597
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2006"	"2006"	0.562	164	3594090	283	3594090
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2007"	"2007"	0.589	173	3634349	292	3634349
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2008"	"2008"	0.852	208	3668976	240	3668976
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2009"	"2009"	0.583	169	3717572	282	3717572
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2010"	"2010"	0.723	194	3759944	258	3759944
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2011"	"2011"	0.845	217	3788379	251	3788379
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2012"	"2012"	0.619	178	3818814	275	3818814
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2013"	"2013"	0.631	184	3853214	287	3853214
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2014"	"2014"	0.701	205	3878187	286	3878187
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2015"	"2015"	0.727	222	3909500	295	3909500
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2016"	"2016"	0.815	228	3926331	273	3926331
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2017"	"2017"	0.755	215	3931316	270	3931316
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2018"	"2018"	0.827	237	3940235	281	3940235
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"1999"	"1999"	0.662	155	3393941	232	3393941
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2000"	"2000"	0.626	171	3429708	271	3429708
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2001"	"2001"	0.679	174	3467937	254	3467937
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2002"	"2002"	0.829	223	3513424	265	3513424
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2003"	"2003"	0.693	199	3547376	283	3547376
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2004"	"2004"	0.684	205	3569463	285	3569463
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2005"	"2005"	0.826	235	3613202	279	3613202
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2006"	"2006"	0.566	179	3670883	305	3670883
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2007"	"2007"	0.658	210	3722417	309	3722417
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2008"	"2008"	0.602	202	3768748	317	3768748
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2009"	"2009"	0.721	230	3808600	313	3808600
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2010"	"2010"	0.666	199	3837491	295	3837491
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2011"	"2011"	0.620	220	3872036	332	3872036
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2012"	"2012"	0.653	230	3899001	335	3899001
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2013"	"2013"	0.677	251	3922468	354	3922468
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2014"	"2014"	0.736	257	3963244	338	3963244
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2015"	"2015"	0.701	249	4015792	323	4015792
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2016"	"2016"	0.578	211	4089976	331	4089976
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2017"	"2017"	0.675	246	4143625	330	4143625
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2018"	"2018"	0.799	259	4181886	303	4181886
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"1999"	"1999"	0.669	619	12263805	893	12263805
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2000"	"2000"	0.589	574	12284173	946	12284173
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2001"	"2001"	0.641	614	12298970	910	12298970
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2002"	"2002"	0.558	565	12331031	970	12331031
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2003"	"2003"	0.603	596	12374658	943	12374658
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2004"	"2004"	0.573	606	12410722	1004	12410722
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2005"	"2005"	0.558	577	12449990	985	12449990
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2006"	"2006"	0.534	577	12510809	1018	12510809
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2007"	"2007"	0.541	601	12563937	1060	12563937
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2008"	"2008"	0.531	585	12612285	1047	12612285
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2009"	"2009"	0.618	668	12666858	1011	12666858
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2010"	"2010"	0.566	655	12711160	1051	12711160
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2011"	"2011"	0.563	625	12745815	1036	12745815
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2012"	"2012"	0.576	650	12767118	1059	12767118
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2013"	"2013"	0.590	693	12776309	1084	12776309
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2014"	"2014"	0.593	677	12788313	1042	12788313
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2015"	"2015"	0.639	724	12784826	1040	12784826
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2016"	"2016"	0.657	770	12782275	1087	12782275
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2017"	"2017"	0.603	732	12787641	1108	12787641
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2018"	"2018"	0.701	778	12800922	1000	12800922
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"1999"	"1999"	0.652	65	1040402	98	1040402
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2000"	"2000"	0.731	66	1050268	87	1050268
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2001"	"2001"	0.675	44	1057142	64	1057142
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2002"	"2002"	0.682	58	1065995	83	1065995
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2003"	"2003"	0.577	60	1071342	103	1071342
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2004"	"2004"	0.557	58	1074579	99	1074579
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2005"	"2005"	0.726	65	1067916	86	1067916
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2006"	"2006"	0.601	50	1063096	81	1063096
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2007"	"2007"	0.513	39	1057315	70	1057315
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2008"	"2008"	0.604	50	1055003	80	1055003
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2009"	"2009"	0.754	48	1053646	60	1053646
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2010"	"2010"	0.656	54	1053959	82	1053959
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2011"	"2011"	0.402	38	1053649	87	1053649
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2012"	"2012"	0.803	63	1054621	72	1054621
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2013"	"2013"	0.720	46	1055081	62	1055081
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2014"	"2014"	0.663	66	1055936	93	1055936
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2015"	"2015"	0.686	58	1056065	83	1056065
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2016"	"2016"	0.750	64	1056770	85	1056770
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2017"	"2017"	0.707	72	1055673	87	1055673
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2018"	"2018"	0.655	58	1058287	82	1058287
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"1999"	"1999"	0.833	217	3974682	264	3974682
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2000"	"2000"	0.851	199	4024223	236	4024223
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2001"	"2001"	0.639	160	4064995	250	4064995
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2002"	"2002"	0.695	198	4107795	283	4107795
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2003"	"2003"	0.698	191	4150297	271	4150297
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2004"	"2004"	0.688	198	4210921	287	4210921
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2005"	"2005"	0.632	198	4270150	308	4270150
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2006"	"2006"	0.614	199	4357847	324	4357847
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2007"	"2007"	0.629	208	4444110	324	4444110
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2008"	"2008"	0.678	213	4528996	307	4528996
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2009"	"2009"	0.680	209	4589872	298	4589872
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2010"	"2010"	0.628	218	4635649	346	4635649
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2011"	"2011"	0.689	241	4671994	339	4671994
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2012"	"2012"	0.715	236	4717354	324	4717354
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2013"	"2013"	0.646	230	4764080	337	4764080
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2014"	"2014"	0.721	270	4823617	358	4823617
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2015"	"2015"	0.643	254	4891938	365	4891938
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2016"	"2016"	0.830	298	4957968	345	4957968
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2017"	"2017"	0.751	295	5021268	385	5021268
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2018"	"2018"	0.819	306	5084156	347	5084156
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2001"	"2001"	0.810	39	757972	48	757972
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2002"	"2002"	0.740	46	760020	61	760020
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2003"	"2003"	0.737	51	763729	66	763729
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2004"	"2004"	0.739	49	770396	64	770396
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2005"	"2005"	0.730	34	775493	45	775493
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2006"	"2006"	0.784	36	783033	46	783033
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2007"	"2007"	0.666	45	791623	67	791623
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2008"	"2008"	0.673	42	799124	62	799124
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2009"	"2009"	1.009 (Unreliable)	53	807067	52	807067
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2010"	"2010"	1.000 (Unreliable)	55	816166	50	816166
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2011"	"2011"	0.575	52	823579	85	823579
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2012"	"2012"	0.729	52	833566	65	833566
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2013"	"2013"	0.741	53	842316	66	842316
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2014"	"2014"	0.708	52	849129	71	849129
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2015"	"2015"	0.902	55	853988	59	853988
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2016"	"2016"	0.713	52	862996	67	862996
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2017"	"2017"	0.931	59	872868	58	872868
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2018"	"2018"	1.036 (Unreliable)	49	878698	45	878698
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"1999"	"1999"	0.916	281	5638706	308	5638706
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2000"	"2000"	0.854	292	5703719	343	5703719
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2001"	"2001"	0.781	298	5750789	383	5750789
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2002"	"2002"	0.897	341	5795918	377	5795918
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2003"	"2003"	0.858	346	5847812	406	5847812
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2004"	"2004"	0.811	356	5910809	431	5910809
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2005"	"2005"	0.825	331	5991057	401	5991057
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2006"	"2006"	0.750	329	6088766	427	6088766
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2007"	"2007"	0.646	293	6175727	445	6175727
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2008"	"2008"	0.640	319	6247411	485	6247411
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2009"	"2009"	0.716	372	6306019	505	6306019
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2010"	"2010"	0.675	315	6355311	448	6355311
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2011"	"2011"	0.665	322	6399291	474	6399291
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2012"	"2012"	0.707	334	6453898	459	6453898
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2013"	"2013"	0.794	387	6494340	469	6494340
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2014"	"2014"	0.781	381	6541223	458	6541223
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2015"	"2015"	0.666	318	6591170	459	6591170
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2016"	"2016"	0.727	364	6646010	480	6646010
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2017"	"2017"	0.746	405	6708799	511	6708799
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2018"	"2018"	0.710	384	6771631	507	6771631
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"1999"	"1999"	0.685	847	20558220	1308	20558220
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2000"	"2000"	0.659	844	20944499	1349	20944499
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2001"	"2001"	0.657	867	21319622	1393	21319622
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2002"	"2002"	0.656	896	21690325	1429	21690325
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2003"	"2003"	0.628	872	22030931	1451	22030931
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2004"	"2004"	0.612	836	22394023	1430	22394023
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2005"	"2005"	0.652	893	22773020	1430	22773020
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2006"	"2006"	0.619	893	23359580	1511	23359580
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2007"	"2007"	0.594	871	23831983	1524	23831983
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2008"	"2008"	0.585	882	24309039	1572	24309039
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2009"	"2009"	0.622	951	24801761	1591	24801761
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2010"	"2010"	0.625	927	25241971	1546	25241971
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2011"	"2011"	0.574	932	25645629	1662	25645629
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2012"	"2012"	0.649	1041	26084481	1628	26084481
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2013"	"2013"	0.639	1080	26480266	1717	26480266
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2014"	"2014"	0.656	1090	26964333	1678	26964333
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2015"	"2015"	0.681	1140	27470056	1717	27470056
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2016"	"2016"	0.670	1197	27914410	1799	27914410
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2017"	"2017"	0.686	1169	28295273	1706	28295273
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2018"	"2018"	0.721	1209	28628666	1670	28628666
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"1999"	"1999"	0.793	85	2203482	122	2203482
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2000"	"2000"	0.674	82	2244502	131	2244502
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2001"	"2001"	0.622	72	2283715	132	2283715
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2002"	"2002"	0.639	86	2324815	150	2324815
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2003"	"2003"	0.682	86	2360137	142	2360137
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2004"	"2004"	0.570	80	2401580	160	2401580
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2005"	"2005"	0.571	88	2457719	171	2457719
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2006"	"2006"	0.752	108	2525507	160	2525507
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2007"	"2007"	0.646	91	2597746	155	2597746
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2008"	"2008"	0.646	101	2663029	173	2663029
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2009"	"2009"	0.626	92	2723421	166	2723421
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2010"	"2010"	0.494	82	2775332	180	2775332
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2011"	"2011"	0.580	110	2814384	202	2814384
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2012"	"2012"	0.700	113	2853375	165	2853375
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2013"	"2013"	0.680	120	2897640	180	2897640
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2014"	"2014"	0.662	118	2936879	189	2936879
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2015"	"2015"	0.670	124	2981835	195	2981835
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2016"	"2016"	0.752	124	3041868	178	3041868
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2017"	"2017"	0.663	126	3101042	202	3101042
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2018"	"2018"	0.656	131	3153550	208	3153550
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"1999"	"1999"	0.514	23	604683	44	604683
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2000"	"2000"	0.608	26	609618	42	609618
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2001"	"2001"	0.507	26	612223	50	612223
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2002"	"2002"	0.667	31	615442	45	615442
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2003"	"2003"	0.770	30	617858	39	617858
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2004"	"2004"	0.646	27	619920	41	619920
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2005"	"2005"	0.514	31	621215	56	621215
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2006"	"2006"	0.573	34	622892	57	622892
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2007"	"2007"	0.543	34	623481	59	623481
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2008"	"2008"	0.684	33	624151	51	624151
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2009"	"2009"	0.385	26	624817	66	624817
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2010"	"2010"	0.732	46	625879	57	625879
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2011"	"2011"	0.673	42	627049	58	627049
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2012"	"2012"	0.977	45	626090	45	626090
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2013"	"2013"	0.850	48	626210	51	626210
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2014"	"2014"	0.606	37	625214	55	625214
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2015"	"2015"	1.172 (Unreliable)	48	625216	41	625216
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2016"	"2016"	0.667	34	623657	46	623657
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2017"	"2017"	0.780	61	624344	70	624344
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2018"	"2018"	0.791	42	624358	45	624358
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"1999"	"1999"	0.651	286	7000174	446	7000174
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2000"	"2000"	0.690	279	7105817	413	7105817
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2001"	"2001"	0.844	300	7198362	360	7198362
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2002"	"2002"	0.708	265	7286873	381	7286873
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2003"	"2003"	0.580	276	7366977	477	7366977
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2004"	"2004"	0.599	292	7475575	490	7475575
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2005"	"2005"	0.648	310	7577105	484	7577105
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2006"	"2006"	0.586	272	7673725	468	7673725
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2007"	"2007"	0.621	303	7751000	480	7751000
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2008"	"2008"	0.612	316	7833496	518	7833496
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2009"	"2009"	0.542	316	7925937	570	7925937
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2010"	"2010"	0.638	356	8023699	544	8023699
